Q23_1,Extra,emotstab,Open,consc,Agree,Age,ideo,dideo,educ,race,income,gender,partyid,PartyID,infpp,polcar,businessC,socialC,CivicDuty,Candidate,lovePols,issue,supprty,servePub
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.75,2.428571462631226,3,2.799999952316284,49,Conservative,Conservative,Graduate Degree,White,10,Male,Strong Republican,Republican,7,7,1,1,6,8,5,7,7,7
I am open to the possibility of holding elective office in the future.,2.400000095367432,1.75,1.857142925262451,2.400000095367432,2.400000095367432,75,Liberal,Liberal,Bachelors Degree,White,5,Male,Strong Democrat,Democrat,9,2,1,2,8,3,5,7,6,10
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.5,2.428571462631226,2.200000047683716,2.400000095367432,62,Somewhat Liberal,Liberal,Bachelors Degree,White,3,Female,Lean-Democrat,Independent,7,3,5,3,9,5,1,7,5,8
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,1.142857074737549,2,2.799999952316284,76,Somewhat Conservative,Conservative,Some College,White,2,Female,Independent,Independent,8,2,4,8,9,7,7,9,8,7
I am open to the possibility of holding elective office in the future.,1.400000095367432,1.75,1.857142925262451,2.200000047683716,2,52,Moderate,Moderate,High School,White,2,Female,Independent,Independent,10,1,1,1,1,1,5,10,1,10
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.75,2.285714149475098,2.799999952316284,2,42,Very Liberal,Liberal,Some College,Hispanic,3,Female,Lean-Democrat,Independent,8,6,8,7,6,9,7,9,8,7
I am open to the possibility of holding elective office in the future.,1.400000095367432,.5,1.285714387893677,1.599999904632568,1.599999904632568,36,Moderate,Moderate,Graduate Degree,Black,3,Male,Strong Democrat,Democrat,9,4,6,8,2,1,3,8,7,10
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,1.5,2.428571462631226,2.400000095367432,3,24,Liberal,Liberal,High School,Hispanic,3,Female,Independent,Independent,2,1,4,1,1,1,1,2,1,2
I am open to the possibility of holding elective office in the future.,2,2.5,2.428571462631226,2.200000047683716,2,49,Very Conservative,Conservative,Bachelors Degree,White,7,Male,Lean Republican,Independent,9,1,0,1,7,8,8,7,8,7
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.25,1.857142925262451,1.799999952316284,2,70,Moderate,Moderate,High School,Hispanic,1,Male,Strong Democrat,Democrat,9,5,5,7,6,9,5,9,9,8
I have absolutely no interest in holding elective office at any time in the future.,1,1.75,1.714285612106323,1.799999952316284,1.400000095367432,68,Liberal,Liberal,Some College,White,3,Male,Republican,Republican,5,1,3,4,6,6,5,5,3,4
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,1.75,3,3,2.599999904632568,26,Moderate,Moderate,High School,White,1,Female,Independent,Independent,4,4,1,3,6,7,4,4,5,2
I have absolutely no interest in holding elective office at any time in the future.,3,1.25,2.571428537368774,2.799999952316284,3,73,Moderate,Moderate,Graduate Degree,White,5,Female,Democrat,Democrat,7,2,7,9,9,8,6,10,9,4
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,3,1,2.799999952316284,3,71,Very Conservative,Conservative,High School,White,3,Male,Republican,Republican,7,6,7,7,8,8,6,8,5,7
I am open to the possibility of holding elective office in the future.,1.200000047683716,3,1.285714387893677,2.599999904632568,2,55,Somewhat Conservative,Conservative,Some College,White,3,Male,Republican,Republican,7,3,5,5,4,7,2,7,4,6
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.5,2.714285850524902,2.599999904632568,2.799999952316284,25,Very Liberal,Liberal,Some College,White,4,Female,Strong Democrat,Democrat,3,1,1,3,1,2,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,1.75,1.142857074737549,2.599999904632568,1.200000047683716,62,Moderate,Moderate,Graduate Degree,White,4,Male,Republican,Republican,5,0,10,5,8,5,5,10,5,5
,,,,,,,,,,,,,,,,,,,,,,,,
I am open to the possibility of holding elective office in the future.,1.799999952316284,1.75,1.857142925262451,1.599999904632568,2.200000047683716,36,Somewhat Conservative,Conservative,Bachelors Degree,Asian,6,Female,Lean-Democrat,Independent,7,8,8,6,0,8,7,8,7,8
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2.5,2,2.799999952316284,1.400000095367432,66,Moderate,Moderate,Graduate Degree,White,1,Female,Independent,Independent,5,0,0,0,0,0,0,3,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,2,1.571428537368774,2.799999952316284,2.200000047683716,61,Moderate,Moderate,Bachelors Degree,White,1,Female,Independent,Independent,1,1,1,1,1,1,1,2,1,1
I am open to the possibility of holding elective office in the future.,1.400000095367432,1.25,2,2.799999952316284,.4000000953674316,56,Moderate,Moderate,Some College,White,4,Male,Independent,Independent,8,0,0,8,8,5,0,8,0,10
I am open to the possibility of holding elective office in the future.,2.200000047683716,1.75,1.714285612106323,2.400000095367432,2.400000095367432,60,Somewhat Liberal,Liberal,Some College,White,3,Female,Democrat,Democrat,7,1,1,1,7,8,9,9,8,9
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,2.75,1.714285612106323,3,2.599999904632568,86,Liberal,Liberal,High School,White,4,Female,Independent,Independent,1,1,1,1,5,1,1,5,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.5,1.571428537368774,1.799999952316284,2,60,Conservative,Conservative,Some College,White,4,Female,Lean Republican,Independent,0,0,0,0,0,0,0,1,0,0
I am open to the possibility of holding elective office in the future.,2.400000095367432,1.25,2.142857074737549,1.799999952316284,2.400000095367432,66,Somewhat Liberal,Liberal,Bachelors Degree,White,2,Male,Strong Democrat,Democrat,6,0,2,2,7,7,7,7,8,8
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.5,2.285714149475098,3,2.799999952316284,70,Very Conservative,Conservative,Some College,White,2,Male,Strong Republican,Republican,3,1,3,3,8,8,3,5,8,5
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,.75,2.285714149475098,2,3,37,Somewhat Conservative,Conservative,Some College,White,3,Female,Strong Democrat,Democrat,7,4,6,4,7,5,2,6,4,7
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2,1.285714387893677,2.599999904632568,2,78,Conservative,Conservative,Some College,White,2,Female,Strong Republican,Republican,1,0,0,0,5,6,0,1,1,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.75,1.428571462631226,2.200000047683716,2.799999952316284,65,Very Conservative,Conservative,Some College,White,3,Male,Strong Republican,Republican,5,3,1,3,6,9,7,5,9,8
I have absolutely no interest in holding elective office at any time in the future.,2,2.25,2,3,3,70,Moderate,Moderate,Some College,White,1,Female,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I am open to the possibility of holding elective office in the future.,2.200000047683716,1.25,1.428571462631226,2.200000047683716,1.200000047683716,60,Somewhat Conservative,Conservative,High School,White,1,Male,Independent,Independent,4,6,5,6,6,8,5,6,6,6
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2,1.714285612106323,3,2.799999952316284,67,Somewhat Conservative,Conservative,Some College,White,2,Female,Lean Republican,Independent,8,3,0,2,7,6,1,10,4,8
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,1.714285612106323,2.599999904632568,2.599999904632568,55,Moderate,Moderate,Some College,Black,1,Female,Strong Democrat,Democrat,5,5,5,5,2,8,2,9,7,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.75,1.571428537368774,2.599999904632568,2.799999952316284,44,Conservative,Conservative,Some College,White,2,Female,Democrat,Democrat,2,1,1,1,1,1,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2,1.571428537368774,2.400000095367432,3,69,Conservative,Conservative,High School,White,3,Female,Republican,Republican,5,0,5,4,8,5,1,7,5,4
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2,1.857142925262451,3,1.400000095367432,60,Conservative,Conservative,Bachelors Degree,White,6,Male,Republican,Republican,8,0,5,0,1,5,6,7,4,6
I have absolutely no interest in holding elective office at any time in the future.,3,3,3,3,3,25,Moderate,Moderate,Some College,Black,2,Male,Democrat,Democrat,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2,.75,2.142857074737549,2,1.799999952316284,34,Conservative,Conservative,Some College,White,6,Male,Lean-Democrat,Independent,7,8,7,8,6,8,8,7,8,8
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2,1.142857074737549,3,2.400000095367432,62,Somewhat Conservative,Conservative,High School,White,1,Female,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,2,1.857142925262451,3,2.200000047683716,61,Somewhat Conservative,Conservative,Some College,White,7,Female,Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1,1.25,2.142857074737549,2.400000095367432,2,71,Moderate,Moderate,Some College,White,5,Female,Independent,Independent,6,3,5,6,3,5,3,8,4,3
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2,2.857142925262451,2.400000095367432,3,63,Somewhat Liberal,Liberal,Graduate Degree,Black,6,Female,Strong Democrat,Democrat,7,3,5,7,5,7,3,9,8,9
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,3,2.25,2.428571462631226,3,2.200000047683716,46,Very Conservative,Conservative,Bachelors Degree,Hispanic,1,Male,Strong Democrat,Democrat,7,2,4,10,10,7,10,5,9,8
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2,2.428571462631226,3,2.400000095367432,53,Liberal,Liberal,Bachelors Degree,Black,7,Male,Strong Democrat,Democrat,6,1,1,5,7,7,2,4,8,5
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,1.25,1.142857074737549,1.799999952316284,.7999999523162842,57,Moderate,Moderate,Bachelors Degree,White,4,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.75,1.857142925262451,2,2,36,Moderate,Moderate,Bachelors Degree,Asian,6,Male,Independent,Independent,7,3,6,6,5,5,6,6,5,6
I have absolutely no interest in holding elective office at any time in the future.,3,2.75,2.428571462631226,2.400000095367432,3,73,Liberal,Liberal,Some College,White,5,Male,Lean-Democrat,Independent,10,0,0,0,10,0,5,10,3,10
I have absolutely no interest in holding elective office at any time in the future.,2,1.5,2,2,2,68,Somewhat Liberal,Liberal,Some College,White,2,Female,Strong Democrat,Democrat,1,1,1,1,1,2,1,5,3,1
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,2.428571462631226,3,2,50,Moderate,Moderate,Bachelors Degree,White,3,Male,Lean Republican,Independent,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,3,2.285714149475098,2.599999904632568,3,33,Moderate,Moderate,Bachelors Degree,White,4,Male,Independent,Independent,7,8,9,9,9,9,8,10,10,7
I have absolutely no interest in holding elective office at any time in the future.,2,1.75,1.857142925262451,2.400000095367432,2.200000047683716,54,Somewhat Liberal,Liberal,Some College,White,1,Female,Democrat,Democrat,9,2,6,8,6,6,0,8,5,8
I am open to the possibility of holding elective office in the future.,2.599999904632568,1.25,2.857142925262451,2.400000095367432,2,36,Conservative,Conservative,High School,White,2,Male,Strong Republican,Republican,8,8,8,8,9,8,8,8,9,5
I have absolutely no interest in holding elective office at any time in the future.,1,1.25,1.285714387893677,1,1.799999952316284,47,Moderate,Moderate,Some College,Multi-Racial,1,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,1.5,1.428571462631226,2.599999904632568,2.200000047683716,58,Somewhat Conservative,Conservative,High School,White,1,Female,Strong Democrat,Democrat,0,0,0,0,1,0,1,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,2.25,1.571428537368774,3,2,20,Moderate,Moderate,High School,White,7,Male,Lean Republican,Independent,0,0,0,0,2,0,0,5,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,.75,2,2.200000047683716,2.200000047683716,63,Moderate,Moderate,Some College,White,2,Male,Strong Democrat,Democrat,2,3,9,8,5,8,5,7,8,5
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.5,1.714285612106323,1.599999904632568,1.799999952316284,35,Somewhat Liberal,Liberal,High School,Hispanic,2,Male,Strong Democrat,Democrat,7,6,5,4,3,1,4,7,6,7
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.75,2.285714149475098,2.799999952316284,2.599999904632568,53,Moderate,Moderate,Some College,White,3,Female,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1,1.25,1.285714387893677,2.200000047683716,2.200000047683716,23,Liberal,Liberal,Some College,White,2,Female,Strong Democrat,Democrat,8,4,8,4,4,5,7,6,7,7
I have absolutely no interest in holding elective office at any time in the future.,2,1.5,2.285714149475098,2.400000095367432,3,58,Conservative,Conservative,Some College,White,4,Female,Lean-Democrat,Independent,1,1,1,0,1,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1,1.571428537368774,1.599999904632568,2,77,Conservative,Conservative,Some College,White,1,Female,Strong Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.75,2.714285850524902,3,3,48,Liberal,Liberal,Bachelors Degree,Black,1,Female,Lean-Democrat,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.25,1.428571462631226,2.799999952316284,3,39,Moderate,Moderate,Some College,White,1,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,2.25,1,3,2.200000047683716,68,Moderate,Moderate,Graduate Degree,White,6,Male,Lean Republican,Independent,7,1,1,3,4,2,1,5,2,5
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1,1.571428537368774,2,1.799999952316284,23,Moderate,Moderate,High School,White,1,Female,Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,3,2.714285850524902,3,2.799999952316284,57,Somewhat Liberal,Liberal,Some College,White,1,Male,Democrat,Democrat,0,0,0,0,6,0,0,9,0,0
I am open to the possibility of holding elective office in the future.,2.400000095367432,1.75,2.857142925262451,2.400000095367432,2.400000095367432,19,Somewhat Liberal,Liberal,High School,White,3,Male,Lean-Democrat,Independent,10,8,8,8,5,5,5,8,6,8
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1,2.714285850524902,2.799999952316284,2.400000095367432,55,Somewhat Conservative,Conservative,Some College,White,3,Male,Independent,Independent,8,2,5,5,8,6,2,7,2,10
I have absolutely no interest in holding elective office at any time in the future.,2,1,2.285714149475098,2,1.799999952316284,21,Very Liberal,Liberal,Some College,Multi-Racial,1,Female,Lean-Democrat,Independent,10,1,7,4,8,1,1,8,1,6
I have absolutely no interest in holding elective office at any time in the future.,2,1.5,2,3,2.799999952316284,65,Very Conservative,Conservative,Bachelors Degree,White,2,Female,Strong Republican,Republican,10,10,10,10,10,10,10,10,10,10
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,2,2.400000095367432,2.400000095367432,60,Somewhat Liberal,Liberal,Bachelors Degree,Black,4,Male,Strong Democrat,Democrat,8,3,8,7,8,5,5,8,8,2
I have absolutely no interest in holding elective office at any time in the future.,1,2,.8571429252624512,1.200000047683716,1,58,Moderate,Moderate,Bachelors Degree,White,1,Male,Independent,Independent,5,5,5,5,6,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.75,2,2.799999952316284,3,58,Moderate,Moderate,Graduate Degree,Black,2,Female,Strong Democrat,Democrat,0,0,0,0,0,0,0,10,0,0
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,.5,.5714285373687744,1,3,54,Liberal,Liberal,High School,White,1,Female,Strong Democrat,Democrat,1,1,1,1,1,1,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.5,1.714285612106323,2.200000047683716,2.799999952316284,51,Conservative,Conservative,Graduate Degree,White,3,Female,Strong Republican,Republican,5,1,6,4,8,7,0,9,8,9
I am open to the possibility of holding elective office in the future.,1.799999952316284,2.25,1.428571462631226,2.400000095367432,3,53,Liberal,Liberal,Some College,White,3,Male,Democrat,Democrat,10,0,0,0,0,10,0,10,10,10
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.75,1.714285612106323,2,2.799999952316284,58,Moderate,Moderate,Some College,White,1,Male,Independent,Independent,5,5,6,5,5,7,4,7,5,6
I have absolutely no interest in holding elective office at any time in the future.,1,1.75,1,1.799999952316284,1,67,Moderate,Moderate,Some College,White,5,Female,Independent,Independent,2,2,2,2,5,4,2,5,4,5
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1,2.714285850524902,2.200000047683716,2.599999904632568,36,Moderate,Moderate,Some College,White,3,Male,Independent,Independent,7,1,9,3,6,8,8,8,1,8
I have absolutely no interest in holding elective office at any time in the future.,3,2.25,2.428571462631226,3,3,25,Moderate,Moderate,Some College,White,2,Female,Independent,Independent,0,0,0,0,0,0,0,3,0,2
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2,2,2.400000095367432,2.599999904632568,58,Moderate,Moderate,Some College,Native American,1,Female,Independent,Independent,1,0,0,0,0,0,0,2,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,3,2.428571462631226,3,1.799999952316284,69,Very Conservative,Conservative,Graduate Degree,White,10,Male,Strong Republican,Republican,9,0,8,4,2,5,0,8,8,0
I have absolutely no interest in holding elective office at any time in the future.,1,2.5,1.714285612106323,1,3,32,Liberal,Liberal,Some College,White,1,Male,Strong Democrat,Democrat,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,.5,2,3,2,56,Moderate,Moderate,Some College,Multi-Racial,3,Male,Lean-Democrat,Independent,8,2,4,4,6,5,5,8,7,8
I have absolutely no interest in holding elective office at any time in the future.,2,1.5,1.714285612106323,1.400000095367432,1.400000095367432,36,Somewhat Liberal,Liberal,Bachelors Degree,White,5,Male,Democrat,Democrat,5,4,6,6,6,5,8,7,6,4
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.25,1.714285612106323,2.200000047683716,1,23,Very Liberal,Liberal,Some College,Hispanic,3,Female,Lean Republican,Independent,5,1,3,7,4,7,2,1,1,6
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.25,2,2.400000095367432,2,43,Somewhat Conservative,Conservative,Bachelors Degree,Hispanic,3,Male,Republican,Republican,0,0,0,0,6,8,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,1.25,2,1.799999952316284,2,41,Moderate,Moderate,Graduate Degree,White,5,Male,Lean-Democrat,Independent,3,3,3,3,3,3,3,3,3,6
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.25,1.428571462631226,2.400000095367432,2,64,Conservative,Conservative,Bachelors Degree,White,6,Male,Strong Republican,Republican,7,7,7,9,7,8,9,9,7,5
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.75,1,2.599999904632568,1.400000095367432,58,Conservative,Conservative,Some College,White,3,Male,Lean Republican,Independent,6,0,4,2,9,8,0,9,6,5
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.75,2.428571462631226,2.599999904632568,2.200000047683716,58,Moderate,Moderate,Bachelors Degree,White,3,Female,Independent,Independent,7,1,3,7,6,4,5,8,1,5
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,1.142857074737549,2,1.599999904632568,57,Somewhat Conservative,Conservative,Some College,White,2,Female,Republican,Republican,6,6,5,6,5,6,5,6,6,6
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.25,2.714285850524902,2.799999952316284,2.799999952316284,61,Moderate,Moderate,Some College,White,3,Female,Democrat,Democrat,4,1,1,3,10,1,1,4,2,9
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.25,2.142857074737549,2.400000095367432,2.799999952316284,31,Liberal,Liberal,High School,Hispanic,2,Female,Independent,Independent,4,3,3,4,6,4,5,6,4,4
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.5,2.428571462631226,2.799999952316284,3,72,Moderate,Moderate,Some College,White,1,Female,Independent,Independent,8,1,2,3,4,7,4,8,2,5
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.25,1.857142925262451,2.599999904632568,2.400000095367432,39,Conservative,Conservative,High School,White,3,Male,Strong Republican,Republican,6,8,8,7,6,8,7,8,8,8
I am open to the possibility of holding elective office in the future.,2.599999904632568,2.25,2.428571462631226,2.799999952316284,2.799999952316284,60,Somewhat Conservative,Conservative,Some College,White,3,Male,Strong Democrat,Democrat,9,9,8,8,9,8,8,8,8,9
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.75,2,2.400000095367432,1.799999952316284,66,Moderate,Moderate,Some College,White,1,Female,Lean-Democrat,Independent,5,0,5,0,8,7,0,8,1,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2,1.571428537368774,2.400000095367432,2.200000047683716,69,Very Liberal,Liberal,Bachelors Degree,White,4,Male,Strong Democrat,Democrat,1,1,1,1,1,1,1,8,1,1
I have absolutely no interest in holding elective office at any time in the future.,.4000000953674316,1,1.714285612106323,2.599999904632568,2.799999952316284,40,Liberal,Liberal,Bachelors Degree,White,5,Male,Strong Democrat,Democrat,8,9,7,8,6,9,8,9,8,10
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.5,1.857142925262451,2.599999904632568,2.200000047683716,25,Moderate,Moderate,High School,White,2,Female,Independent,Independent,10,10,0,0,4,0,10,6,1,6
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,1.571428537368774,2,2.599999904632568,52,Somewhat Conservative,Conservative,Some College,White,2,Female,Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,2.285714149475098,3,2,64,Moderate,Moderate,Graduate Degree,White,5,Female,Independent,Independent,0,0,0,0,1,4,0,2,0,1
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,2.5,1.285714387893677,2.200000047683716,1.799999952316284,69,Moderate,Moderate,Some College,White,3,Male,Independent,Independent,0,0,0,0,0,0,0,1,0,1
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,3,2,3,2.599999904632568,60,Moderate,Moderate,Bachelors Degree,White,6,Female,Independent,Independent,8,0,0,0,0,0,0,0,0,8
I am open to the possibility of holding elective office in the future.,2.400000095367432,1.75,2.428571462631226,3,2.599999904632568,59,Moderate,Moderate,Some College,White,7,Male,Independent,Independent,10,10,10,7,10,7,10,9,7,7
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.75,2.428571462631226,2.599999904632568,2,22,Liberal,Liberal,Some College,Black,8,Female,Strong Democrat,Democrat,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,3,2.142857074737549,3,2.599999904632568,63,Moderate,Moderate,Bachelors Degree,White,4,Male,Democrat,Democrat,5,4,5,5,4,5,3,8,5,4
I have absolutely no interest in holding elective office at any time in the future.,1,1.25,2.142857074737549,2.200000047683716,2.400000095367432,56,Very Conservative,Conservative,Some College,White,1,Female,Strong Republican,Republican,7,5,6,7,7,9,5,8,8,4
I am open to the possibility of holding elective office in the future.,.4000000953674316,1,1.285714387893677,1.599999904632568,2,44,Somewhat Conservative,Conservative,Some College,White,3,Male,Republican,Republican,10,9,1,1,8,1,7,10,1,7
I have absolutely no interest in holding elective office at any time in the future.,1,1.75,1.857142925262451,3,2.200000047683716,54,Moderate,Moderate,High School,White,1,Female,Independent,Independent,5,5,5,5,6,8,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.25,1.428571462631226,2.400000095367432,1.200000047683716,66,Very Conservative,Conservative,High School,White,2,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,1.75,2.428571462631226,2.799999952316284,2.599999904632568,74,Moderate,Moderate,Some College,White,3,Female,Democrat,Democrat,10,9,9,9,9,9,10,8,10,9
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,1,1.571428537368774,2.400000095367432,2.200000047683716,51,Liberal,Liberal,Bachelors Degree,White,3,Female,Democrat,Democrat,10,7,8,7,9,9,10,8,9,10
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2,2.428571462631226,2.400000095367432,2.799999952316284,62,Conservative,Conservative,Bachelors Degree,White,4,Male,Lean-Democrat,Independent,9,4,3,5,8,8,3,9,5,9
I have absolutely no interest in holding elective office at any time in the future.,3,2.75,2.857142925262451,2.599999904632568,2.799999952316284,56,Moderate,Moderate,Bachelors Degree,White,9,Male,Lean Republican,Independent,8,5,5,8,10,5,5,8,5,8
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,.25,1.714285612106323,2.400000095367432,2.799999952316284,55,Moderate,Moderate,High School,White,5,Female,Republican,Republican,8,4,7,7,6,8,4,8,6,4
I am open to the possibility of holding elective office in the future.,1.400000095367432,2.75,2.428571462631226,2.400000095367432,2.799999952316284,74,Somewhat Liberal,Liberal,Bachelors Degree,White,4,Male,Lean-Democrat,Independent,10,1,1,5,8,1,1,8,1,9
I am open to the possibility of holding elective office in the future.,2.400000095367432,1.75,2.285714149475098,2,2.799999952316284,25,Conservative,Conservative,High School,Black,1,Male,Strong Democrat,Democrat,6,7,6,6,7,7,7,6,8,5
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,1.714285612106323,3,3,60,Somewhat Conservative,Conservative,Some College,White,2,Female,Democrat,Democrat,5,1,7,7,7,7,1,6,7,0
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,2,1.799999952316284,1.799999952316284,56,Moderate,Moderate,Some College,Black,5,Female,Democrat,Democrat,5,5,3,3,3,5,3,5,5,3
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.5,1.285714387893677,2.599999904632568,2.599999904632568,64,Conservative,Conservative,Some College,White,1,Male,Lean Republican,Independent,7,1,1,1,6,9,1,7,3,4
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2,2.285714149475098,2.799999952316284,2.200000047683716,38,Liberal,Liberal,High School,Black,8,Female,Strong Democrat,Democrat,3,3,5,2,3,3,2,0,1,0
I am open to the possibility of holding elective office in the future.,2,2,2.142857074737549,3,2.599999904632568,47,Moderate,Moderate,Some College,White,3,Female,Strong Republican,Republican,9,5,5,7,7,9,8,9,10,9
I have absolutely no interest in holding elective office at any time in the future.,2,1,2,2.400000095367432,2,62,Somewhat Liberal,Liberal,Bachelors Degree,White,7,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,3,1.714285612106323,2.799999952316284,2,73,Moderate,Moderate,Some College,White,4,Male,Strong Democrat,Democrat,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2,.8571429252624512,2.400000095367432,1.799999952316284,48,Somewhat Conservative,Conservative,Some College,White,3,Female,Independent,Independent,0,0,0,0,0,0,0,0,0,0
